iter	AUC	Logloss
99	0.9258249101	0.2708889838
100	0.9261045805	0.2703799785
101	0.9263195754	0.2700214147
102	0.9265635845	0.2695885942
103	0.9268804203	0.2689504078
104	0.9271264996	0.2685644931
105	0.9273604329	0.2681092517
106	0.9275717404	0.2677931662
107	0.9278370412	0.2673439387
108	0.9280824654	0.2669030716
109	0.9282844006	0.2665026104
110	0.9284028997	0.2661346797
111	0.9286823356	0.2657685946
112	0.9290068131	0.2653283196
113	0.9292508627	0.2649710283
114	0.9295453556	0.2644762257
115	0.9296768092	0.2640431105
116	0.9298386032	0.2637727097
117	0.9299069904	0.2633866366
118	0.9301215325	0.2630607941
119	0.9304343817	0.2625942381
120	0.9305996367	0.2622707346
121	0.9308306994	0.2619005573
122	0.9310653605	0.261553395
123	0.9312491497	0.2612087664
124	0.9313604276	0.2609760857
125	0.9316063127	0.2605865414
126	0.9317971614	0.260149342
127	0.9320459173	0.2597755298
128	0.9322671711	0.259396486
129	0.9325164121	0.2590241609
130	0.9326898264	0.2586597307
131	0.9328132016	0.258328121
132	0.9329515529	0.2580052478
133	0.933200608	0.257682669
134	0.9334409378	0.25729905
135	0.9336123789	0.2569379792
136	0.9338129233	0.2565757055
137	0.9339454766	0.2563097166
138	0.9340991114	0.2560199209
139	0.9342623448	0.2557619665
140	0.9344024105	0.2555326916
141	0.9345613257	0.2551858153
142	0.934788426	0.2548385617
143	0.9349484168	0.2545910134
144	0.9350773797	0.2543431761
145	0.9352203646	0.2540483585
146	0.9354184992	0.2536847466
147	0.9356524407	0.2533674185
148	0.935838672	0.2530635147
149	0.9361170566	0.2528230233
150	0.9363337497	0.2524154581
151	0.9365272507	0.2521550897
152	0.9366093203	0.2519892839
153	0.9367854597	0.2516177915
154	0.9369719578	0.2513056106
155	0.9371260697	0.2510547445
156	0.9373545043	0.2506771969
157	0.9376220692	0.2503014357
158	0.9378589946	0.2499627474
159	0.9380072034	0.249660725
160	0.9381863186	0.2493753604
161	0.9383500776	0.2491312347
162	0.9384729353	0.2490036793
163	0.9386111572	0.2485722981
164	0.9388700212	0.2481573662
165	0.939051999	0.2478690781
166	0.9391561931	0.2476154675
167	0.9394161083	0.247172656
168	0.9395673333	0.2468782698
169	0.9397497802	0.2465907826
170	0.9399033826	0.2462902636
171	0.94005409	0.2460198038
172	0.9401787591	0.2458353513
173	0.940303412	0.2455640262
174	0.9404738828	0.2452625361
175	0.9406401405	0.2449401494
176	0.940762238	0.2446936422
177	0.9408810121	0.2444936598
178	0.9410135169	0.2442245156
179	0.9411717528	0.2439478198
180	0.9413666529	0.243608454
181	0.9414721408	0.2433592728
182	0.9416577009	0.2430773125
183	0.9417822244	0.2428272276
184	0.9419135486	0.2426121349
185	0.9420358564	0.2424013138
186	0.9422609109	0.2420978898
187	0.942411028	0.2418307297
188	0.9425039981	0.241618385
189	0.9426714284	0.2413286931
190	0.9427842993	0.2410446756
191	0.9428986096	0.2407618367
192	0.9430958061	0.2404869463
193	0.9432228122	0.2402590283
194	0.943373835	0.2399849509
195	0.9434740263	0.2397789442
196	0.9436054556	0.2395216182
197	0.9438058221	0.2391766575
198	0.9440126254	0.2389026942
199	0.9441077546	0.238710247
200	0.9442255258	0.2384870194
201	0.9443999994	0.2382132445
202	0.9445227035	0.2379514179
203	0.9446251671	0.237686034
204	0.9447450813	0.237389201
205	0.9448831981	0.2371306983
206	0.9450298219	0.2369225793
207	0.9451913329	0.2366673447
208	0.9452933679	0.2364699889
209	0.9454824861	0.2361774119
210	0.9456206434	0.2359617248
211	0.9457644531	0.235719442
212	0.9459433742	0.2354747471
213	0.9460778279	0.2352406732
214	0.9462305974	0.23498503
215	0.9463286862	0.234796473
216	0.9464678543	0.2345590963
217	0.9465852294	0.2343433877
218	0.9466992	0.2341842898
219	0.9468162354	0.2339673423
220	0.946979946	0.2336921492
221	0.9471101138	0.2334689001
222	0.9472989732	0.233191875
223	0.9473963423	0.2329843901
224	0.9474825198	0.2327848911
225	0.9475990215	0.2325775899
226	0.9477312433	0.2323762489
227	0.9478321624	0.2321480542
228	0.9479318443	0.2320025275
229	0.9480302889	0.2318668176
230	0.9481541412	0.2316658108
231	0.9482842606	0.2314565946
232	0.9484362457	0.2312655381
233	0.948520636	0.2310554704
234	0.9486312589	0.2308359468
235	0.9487339732	0.2306260767
236	0.9488422429	0.2304377718
237	0.9489344448	0.2301703444
238	0.9490563968	0.2299591244
239	0.9491719038	0.2297472068
240	0.9493128348	0.2294906687
241	0.9493930444	0.2293267084
242	0.9495282906	0.2290622987
243	0.9496294684	0.2288089028
244	0.9497538302	0.2286020519
245	0.9498249021	0.2283646525
246	0.9499759007	0.2281464567
247	0.9501345653	0.2278765752
248	0.950253129	0.2276841934
249	0.9503233357	0.2275463728
250	0.9503909143	0.2273009589
251	0.9505384115	0.2270795234
252	0.9506210228	0.2269293603
253	0.950734856	0.2267227448
254	0.9508656626	0.2264709473
255	0.9509430744	0.2262734362
256	0.9510407993	0.2260788852
257	0.9511743635	0.2258765507
258	0.9512199307	0.2257558076
259	0.9513639183	0.2254766517
260	0.9515181919	0.2252355701
261	0.9516243834	0.2250556031
262	0.9517041079	0.2248462258
263	0.9518195664	0.2246143546
264	0.951944567	0.2244068157
265	0.952068573	0.2242024165
266	0.9522270354	0.2239547629
267	0.9523354506	0.223754128
268	0.9524019133	0.2235578917
269	0.9525376608	0.2233253395
270	0.9526266604	0.2231699977
271	0.9527251697	0.2229862912
272	0.9527930395	0.2228127295
273	0.9528922361	0.2226078709
274	0.9529822951	0.2224040867
